dataset,rows,stem(구시군+읍면동stem),같은 구시군,같은 광역권(시도),광주+전남 통합,전국 전체
총선 18대 · 본투표,3542,1475,28302,545334,572179,6271111
총선 19대 · 본투표,3535,1174,28545,536982,565182,6246345
총선 20대 · 본투표,3466,1164,28475,516335,544550,6004845
총선 20대 · 사전투표,3466,1164,28475,516335,544550,6004845
총선 21대 · 본투표,3484,1155,28324,515550,543765,6067386
총선 21대 · 사전투표,3484,1155,28324,515550,543765,6067386
총선 22대 · 본투표,3546,1201,30159,545977,574489,6285285
총선 22대 · 사전투표,3546,1201,30159,545977,574489,6285285
지선 8회(2022) · 본투표,3510,1162,26649,524784,553593,6158295
지선 8회(2022) · 사전투표,3510,1162,26649,524784,553593,6158295
지선 9회(2026) · 본투표,3558,1214,26784,548903,577415,6327903
지선 9회(2026) · 사전투표,3558,1214,26784,548903,577415,6327903
대선 14대 · 본투표,3659,1436,22878,594013,623913,6692311
대선 15대 · 본투표,3739,1558,24300,588613,621058,6988191
대선 16대 · 본투표,3515,1523,27946,539629,564959,6175855
대선 17대 · 본투표,3576,1578,28574,560173,587018,6392100
대선 18대 · 본투표,3479,1175,26154,517425,545249,6049981
대선 19대 · 본투표,3491,1161,26457,522491,550706,6091795
대선 19대 · 사전투표,3491,1161,26457,522491,550706,6091795
대선 20대 · 본투표,3510,1170,26589,524784,553593,6158295
대선 20대 · 사전투표,3510,1170,26589,524784,553593,6158295
대선 21대 · 본투표,3554,1222,26866,547642,576154,6313681
대선 21대 · 사전투표,3554,1222,26866,547642,576154,6313681
